subject,modeldate,party,very_estimate,somewhat_estimate,not_very_estimate,not_at_all_estimate,timestamp
concern-economy,4/13/2020,all,57.154326,29.819843,8.8092224,3.0669822,19:05:06 13 Apr 2020
concern-infected,4/13/2020,all,38.79787,36.356667,15.820303,7.7031128,19:05:07 13 Apr 2020
concern-economy,4/12/2020,all,56.843724,30.26084,9.0852522,3.0177649,06:50:13 13 Apr 2020
concern-infected,4/12/2020,all,37.150252,36.354122,16.773462,8.2610136,06:50:14 13 Apr 2020
concern-economy,4/11/2020,all,56.843724,30.26084,9.0852522,3.0177649,07:50:06 11 Apr 2020
concern-infected,4/11/2020,all,38.012555,36.800441,16.569675,7.8548123,07:50:07 11 Apr 2020
concern-economy,4/10/2020,all,57.06725,30.095193,9.0937099,2.9518285,09:55:07 10 Apr 2020
concern-infected,4/10/2020,all,37.999492,36.834147,16.569473,7.8352198,09:55:07 10 Apr 2020
concern-economy,4/9/2020,all,57.075326,30.131905,9.1004618,2.9470866,18:30:07  9 Apr 2020
concern-infected,4/9/2020,all,37.500457,36.38094,17.087186,8.1516584,18:30:07  9 Apr 2020
concern-economy,4/8/2020,all,56.539081,30.665442,8.9935252,3.0943447,22:10:05  8 Apr 2020
concern-infected,4/8/2020,all,36.96633,36.130652,17.203993,8.671082,22:10:06  8 Apr 2020
concern-economy,4/7/2020,all,54.897678,31.463003,9.611591,3.1513887,23:20:06  7 Apr 2020
concern-infected,4/7/2020,all,33.412965,36.373118,18.902791,9.9494827,23:20:06  7 Apr 2020
concern-economy,4/6/2020,all,55.311979,31.338252,9.3722758,3.0746686,23:50:06  6 Apr 2020
concern-infected,4/6/2020,all,32.982783,36.513441,19.071331,10.106182,23:50:06  6 Apr 2020
concern-economy,4/5/2020,all,54.400371,31.799203,9.6014506,3.1591725,10:50:08  6 Apr 2020
concern-infected,4/5/2020,all,32.982783,36.513441,19.071331,10.106182,10:50:09  6 Apr 2020
concern-economy,4/4/2020,all,54.400371,31.799203,9.6014506,3.1591725,00:30:06  4 Apr 2020
concern-infected,4/4/2020,all,32.982783,36.513441,19.071331,10.106182,00:30:06  4 Apr 2020
concern-economy,4/3/2020,all,54.462539,31.712841,9.6709547,3.0979517,13:35:06  3 Apr 2020
concern-infected,4/3/2020,all,32.9665,36.413921,19.133612,10.14452,13:35:07  3 Apr 2020
concern-infected,4/2/2020,all,31.81763,36.3726,19.80058,10.62861,17:46:13  2 Apr 2020
concern-economy,4/2/2020,all,54.5601,31.42808,9.623364,3.319085,17:45:54  2 Apr 2020
concern-infected,4/1/2020,all,31.81763,36.3726,19.80058,10.62861,17:46:14  2 Apr 2020
concern-economy,4/1/2020,all,54.5601,31.42808,9.623364,3.319085,17:45:55  2 Apr 2020
concern-economy,3/31/2020,all,55.14687,30.67529,9.485602,3.604705,17:45:55  2 Apr 2020
concern-infected,3/31/2020,all,31.53831,36.23717,20.06977,10.73117,17:46:14  2 Apr 2020
concern-economy,3/30/2020,all,55.14687,30.67529,9.485602,3.604705,17:45:56  2 Apr 2020
concern-infected,3/30/2020,all,31.48081,36.19573,20.08361,10.84496,17:46:15  2 Apr 2020
concern-economy,3/29/2020,all,63.37077,25.67033,6.820952,3.483248,17:45:56  2 Apr 2020
concern-infected,3/29/2020,all,32.5274,37.45335,20.25546,9.067663,17:46:15  2 Apr 2020
concern-infected,3/28/2020,all,30.97512,37.652,21.01104,9.644611,17:46:15  2 Apr 2020
concern-economy,3/28/2020,all,55.76489,28.83874,9.314854,5.001129,17:45:56  2 Apr 2020
concern-infected,3/27/2020,all,30.5966,37.28209,21.37903,9.982054,17:46:16  2 Apr 2020
concern-economy,3/27/2020,all,55.76489,28.83874,9.314854,5.001129,17:45:57  2 Apr 2020
concern-economy,3/26/2020,all,55.76489,28.83874,9.314854,5.001129,17:45:57  2 Apr 2020
concern-infected,3/26/2020,all,30.51298,37.2417,21.47831,10.00302,17:46:16  2 Apr 2020
concern-economy,3/25/2020,all,54.05219,29.72926,9.848284,5.136967,17:45:58  2 Apr 2020
concern-infected,3/25/2020,all,30.44253,37.22616,21.52938,10.01975,17:46:17  2 Apr 2020
concern-infected,3/24/2020,all,29.26733,36.11691,22.96114,10.7774,17:46:17  2 Apr 2020
concern-economy,3/24/2020,all,54.05219,29.72926,9.848284,5.136967,17:45:58  2 Apr 2020
concern-economy,3/23/2020,all,52.73412,30.45293,10.28445,5.333936,17:45:59  2 Apr 2020
concern-infected,3/23/2020,all,27.9404,36.6573,23.26873,11.04683,17:46:18  2 Apr 2020
concern-economy,3/22/2020,all,52.73412,30.45293,10.28445,5.333936,17:45:59  2 Apr 2020
concern-infected,3/22/2020,all,27.28671,36.35975,23.72996,11.32055,17:46:18  2 Apr 2020
concern-infected,3/21/2020,all,24.29691,37.2181,25.39157,11.64195,17:46:19  2 Apr 2020
concern-economy,3/21/2020,all,47.62551,32.997,12.07553,5.92444,17:45:59  2 Apr 2020
concern-infected,3/20/2020,all,24.29691,37.2181,25.39157,11.64195,17:46:19  2 Apr 2020
concern-economy,3/20/2020,all,47.62551,32.997,12.07553,5.92444,17:46:00  2 Apr 2020
concern-infected,3/19/2020,all,24.29691,37.2181,25.39157,11.64195,17:46:19  2 Apr 2020
concern-economy,3/19/2020,all,45.38528,34.18507,12.70884,6.211256,17:46:00  2 Apr 2020
concern-infected,3/18/2020,all,23.46276,34.76722,26.64241,13.64039,17:46:20  2 Apr 2020
concern-economy,3/18/2020,all,45.38528,34.18507,12.70884,6.211256,17:46:01  2 Apr 2020
concern-economy,3/17/2020,all,44.04733,34.81139,12.98826,6.417843,17:46:01  2 Apr 2020
concern-infected,3/17/2020,all,23.46276,34.76722,26.64241,13.64039,17:46:20  2 Apr 2020
concern-economy,3/16/2020,all,42.46375,35.49059,13.57028,6.670887,17:46:02  2 Apr 2020
concern-infected,3/16/2020,all,23.74623,34.44712,26.40847,13.77206,17:46:21  2 Apr 2020
concern-economy,3/15/2020,all,37.13918,37.96914,15.01443,7.490304,17:46:02  2 Apr 2020
concern-infected,3/15/2020,all,23.27218,34.20933,26.65161,14.2085,17:46:21  2 Apr 2020
concern-infected,3/14/2020,all,22.14673,33.64861,28.11237,14.37209,17:46:22  2 Apr 2020
concern-economy,3/14/2020,all,34.88319,38.08405,15.9141,8.212915,17:46:02  2 Apr 2020
concern-economy,3/13/2020,all,34.09245,38.4781,16.53161,8.28289,17:46:03  2 Apr 2020
concern-infected,3/13/2020,all,22.14673,33.64861,28.11237,14.37209,17:46:22  2 Apr 2020
concern-infected,3/12/2020,all,22.32016,33.02826,28.9935,14.40557,17:46:22  2 Apr 2020
concern-economy,3/12/2020,all,34.21951,36.67172,18.38413,7.946908,17:46:03  2 Apr 2020
concern-infected,3/11/2020,all,22.4244,31.26108,30.29826,15.62325,17:46:23  2 Apr 2020
concern-economy,3/11/2020,all,34.21951,36.67172,18.38413,7.946908,17:46:04  2 Apr 2020
concern-infected,3/10/2020,all,22.10178,31.99989,28.88765,16.59942,17:46:23  2 Apr 2020
concern-economy,3/10/2020,all,34.21951,36.67172,18.38413,7.946908,17:46:04  2 Apr 2020
concern-economy,3/9/2020,all,33.85994,36.65052,18.78105,8.071594,17:46:05  2 Apr 2020
concern-infected,3/9/2020,all,22.4908,31.72139,28.51094,16.74567,17:46:24  2 Apr 2020
concern-economy,3/8/2020,all,33.83747,36.61839,19.02329,8.326152,17:46:05  2 Apr 2020
concern-infected,3/8/2020,all,20.62768,31.46883,29.76527,17.3044,17:46:24  2 Apr 2020
concern-economy,3/7/2020,all,33.17934,36.48302,19.92439,7.631758,17:46:05  2 Apr 2020
concern-infected,3/7/2020,all,19.82386,28.96277,32.97747,17.23682,17:46:25  2 Apr 2020
concern-economy,3/6/2020,all,33.17934,36.48302,19.92439,7.631758,17:46:06  2 Apr 2020
concern-infected,3/6/2020,all,19.82386,28.96277,32.97747,17.23682,17:46:25  2 Apr 2020
concern-economy,3/5/2020,all,33.17934,36.48302,19.92439,7.631758,17:46:06  2 Apr 2020
concern-infected,3/5/2020,all,19.82386,28.96277,32.97747,17.23682,17:46:25  2 Apr 2020
concern-economy,3/4/2020,all,32.43756,35.37135,20.94713,8.149701,17:46:06  2 Apr 2020
concern-infected,3/4/2020,all,19.82386,28.96277,32.97747,17.23682,17:46:26  2 Apr 2020
concern-infected,3/3/2020,all,19.82386,28.96277,32.97747,17.23682,17:46:26  2 Apr 2020
concern-economy,3/3/2020,all,32.43756,35.37135,20.94713,8.149701,17:46:07  2 Apr 2020
concern-infected,3/2/2020,all,17.90033,24.96559,35.13448,20.38884,17:46:27  2 Apr 2020
concern-economy,3/2/2020,all,28.73197,34.83743,21.58282,10.18496,17:46:07  2 Apr 2020
concern-infected,3/1/2020,all,17.90033,24.96559,35.13448,20.38884,17:46:27  2 Apr 2020
concern-economy,3/1/2020,all,28.73197,34.83743,21.58282,10.18496,17:46:08  2 Apr 2020
concern-infected,2/29/2020,all,17.90033,24.96559,35.13448,20.38884,17:46:27  2 Apr 2020
concern-economy,2/29/2020,all,25.62871,35.5055,24.18785,11.32783,17:46:08  2 Apr 2020
concern-infected,2/28/2020,all,17.90033,24.96559,35.13448,20.38884,17:46:28  2 Apr 2020
concern-economy,2/28/2020,all,25.62871,35.5055,24.18785,11.32783,17:46:08  2 Apr 2020
concern-economy,2/27/2020,all,25.62871,35.5055,24.18785,11.32783,17:46:09  2 Apr 2020
concern-infected,2/27/2020,all,17.55785,24.40722,36.65177,20.91708,17:46:28  2 Apr 2020
concern-infected,2/26/2020,all,17.55785,24.40722,36.65177,20.91708,17:46:28  2 Apr 2020
concern-economy,2/26/2020,all,25.62871,35.5055,24.18785,11.32783,17:46:09  2 Apr 2020
concern-infected,2/25/2020,all,17.55785,24.40722,36.65177,20.91708,17:46:29  2 Apr 2020
concern-economy,2/25/2020,all,22.2899,34.34493,27.1253,13.61984,17:46:09  2 Apr 2020
concern-infected,2/24/2020,all,18.43492,23.51789,36.31841,20.99664,17:46:29  2 Apr 2020
concern-economy,2/24/2020,all,22.2899,34.34493,27.1253,13.61984,17:46:10  2 Apr 2020
concern-infected,2/23/2020,all,18.43492,23.51789,36.31841,20.99664,17:46:30  2 Apr 2020
concern-economy,2/23/2020,all,22.2899,34.34493,27.1253,13.61984,17:46:10  2 Apr 2020
concern-economy,2/22/2020,all,22.2899,34.34493,27.1253,13.61984,17:46:10  2 Apr 2020
concern-infected,2/22/2020,all,18.43492,23.51789,36.31841,20.99664,17:46:30  2 Apr 2020
concern-economy,2/21/2020,all,22.2899,34.34493,27.1253,13.61984,17:46:11  2 Apr 2020
concern-infected,2/21/2020,all,18.43492,23.51789,36.31841,20.99664,17:46:30  2 Apr 2020
concern-economy,2/20/2020,all,22.2899,34.34493,27.1253,13.61984,17:46:11  2 Apr 2020
concern-infected,2/20/2020,all,18.43492,23.51789,36.31841,20.99664,17:46:31  2 Apr 2020
concern-economy,2/19/2020,all,22.2899,34.34493,27.1253,13.61984,17:46:12  2 Apr 2020
concern-infected,2/19/2020,all,18.43492,23.51789,36.31841,20.99664,17:46:31  2 Apr 2020
concern-infected,2/18/2020,all,18.43492,23.51789,36.31841,20.99664,17:46:32  2 Apr 2020
concern-economy,2/18/2020,all,22.2899,34.34493,27.1253,13.61984,17:46:12  2 Apr 2020
concern-economy,2/17/2020,all,22.7564,32.28901,24.01514,8.969726,17:46:12  2 Apr 2020
concern-infected,2/17/2020,all,16.4273,24.80625,37.79734,19.74481,17:46:32  2 Apr 2020
concern-economy,2/16/2020,all,22.7564,32.28901,24.01514,8.969726,17:46:12  2 Apr 2020
concern-infected,2/16/2020,all,16.4273,24.80625,37.79734,19.74481,17:46:32  2 Apr 2020
concern-economy,2/15/2020,all,22.7564,32.28901,24.01514,8.969726,17:46:12  2 Apr 2020
concern-infected,2/15/2020,all,11.7618,26.27597,39.08025,19.99529,17:46:33  2 Apr 2020
